"Age","Income_Level","Avg_Cart_Size","Website_Visit_Frequency","Marketing_Emails_Opened","Device_Type","Loyalty_Program_Member","Subscribed_Premium"
41,21357.112,448.619,37,7,"Mobile",1,1
39,139772.445,455.285,14,7,"Mobile",1,1
33,114070.213,223.052,10,25,"Mobile",0,1
24,81049.759,63.964,17,5,"Desktop",1,0
56,119425.3,94.45,10,22,"Tablet",0,1
25,103925.024,424.648,42,1,"Desktop",1,1
66,87059.333,258.519,28,17,"Tablet",0,1
42,147030.145,45.941,47,5,"Desktop",0,1
62,55414.725,473.01,37,23,"Desktop",0,1
24,29958.154,26.308,23,20,"Mobile",1,1
18,51667.278,97.225,19,26,"Desktop",0,1
23,147194.103,19.881,41,14,"Tablet",1,1
46,92385.922,142.73,26,21,"Desktop",0,1
59,48697.613,199.474,28,11,"Mobile",0,1
48,138696.701,338.434,25,1,"Mobile",1,1
32,64908.165,209.012,41,14,"Desktop",0,1
42,43856.171,431.436,39,20,"Desktop",0,1
57,97455.016,409.708,49,21,"Mobile",0,1
31,125365.558,445.423,12,17,"Mobile",0,1
59,59104.473,33.731,43,26,"Desktop",0,1
18,69102.964,60.253,13,9,"Desktop",1,1
19,46285.76,469.721,22,3,"Desktop",1,1
30,92739.117,200.017,38,5,"Mobile",0,1
60,98898.434,116.425,46,9,"Desktop",0,1
31,21327.652,75.983,27,14,"Mobile",1,1
19,96969.934,21.457,12,12,"Mobile",1,1
38,91700.033,329.636,24,7,"Mobile",0,1
56,94923.493,177.199,23,7,"Desktop",0,1
24,107572.309,169.159,9,3,"Desktop",0,1
63,83575.593,493.151,31,14,"Desktop",1,1
42,25882.779,63.841,7,0,"Desktop",1,1
18,25841.607,402.569,11,27,"Desktop",0,1
43,128112.208,267.043,13,29,"Desktop",1,1
19,30065.173,100.34,40,0,"Desktop",1,1
22,119572.67,375.054,30,0,"Desktop",0,1
41,76308.976,314.937,46,12,"Mobile",0,1
69,138099.671,456.055,34,24,"Mobile",1,1
25,98228.86,110.755,37,25,"Mobile",0,1
37,77815.762,308.257,40,26,"Desktop",0,1
45,48006.051,230.102,38,0,"Desktop",0,1
47,55313.336,355.518,38,11,"Desktop",1,1
31,42525.861,381.328,44,15,"Desktop",1,1
51,83507.742,155.819,36,28,"Tablet",0,1
59,36204.329,203.768,49,28,"Mobile",0,1
43,86451.224,440.391,49,0,"Desktop",0,1
52,69063.815,482.299,25,9,"Desktop",0,1
64,110397.87,319.647,25,2,"Mobile",0,1
66,26093.118,74.048,23,29,"Desktop",1,1
50,126097.941,323.081,43,1,"Desktop",1,1
19,33496.053,213.538,4,3,"Mobile",0,0
62,63728.364,149.426,26,2,"Desktop",1,1
57,106234.877,228.69,40,12,"Desktop",0,1
31,91475.541,383.916,32,19,"Tablet",0,1
42,123967.366,332.722,3,8,"Desktop",1,1
46,55292.532,154.314,21,30,"Mobile",0,1
41,61893.419,277.826,7,18,"Desktop",0,1
41,97229.342,413.959,2,22,"Desktop",0,1
47,47498.248,385.557,38,1,"Desktop",0,1
21,67578.454,87.274,19,12,"Desktop",0,1
36,75770.801,408.249,36,2,"Desktop",0,1
60,78454.526,25.894,41,23,"Desktop",1,1
25,32341.308,195.957,31,16,"Mobile",1,1
41,83732.943,480.485,27,1,"Mobile",1,1
61,106462.517,146.28,33,27,"Mobile",0,1
27,23318.067,116.041,31,25,"Mobile",0,0
64,43867.728,323.756,14,8,"Desktop",0,1
46,68389.036,389.641,1,28,"Desktop",1,0
52,98644.749,91.732,49,3,"Desktop",1,1
36,57133.65,417.304,8,22,"Desktop",0,0
45,118941.125,82.81,50,21,"Mobile",0,1
50,36659.688,131.688,24,22,"Mobile",0,1
24,51147.417,60.577,33,29,"Desktop",1,1
40,92485.83,367.145,35,3,"Mobile",1,1
65,58840.117,204.143,26,3,"Mobile",0,1
59,103241.866,309.126,1,23,"Desktop",0,1
51,122130.612,333.287,6,18,"Mobile",0,1
26,62189.192,237.24,36,21,"Desktop",1,1
49,129412.442,148.801,15,28,"Mobile",0,1
62,70012.049,189.749,5,14,"Mobile",0,1
24,92384.481,70.126,15,23,"Mobile",0,1
27,39678.628,333.619,23,8,"Mobile",0,1
47,103954.719,90.518,41,12,"Mobile",1,1
58,30530.469,451.524,47,17,"Mobile",0,1
19,52887.752,381.116,30,2,"Mobile",0,1
60,77739.819,62.724,7,4,"Desktop",0,0
20,115385.177,303.155,42,21,"Mobile",0,1
54,57004.803,469.622,50,4,"Desktop",1,1
21,37009.66,182.231,2,2,"Mobile",0,1
34,100975.363,438.653,13,18,"Mobile",1,1
19,146577.899,354.957,20,20,"Mobile",0,1
18,81746.966,476.276,21,18,"Mobile",0,1
32,103181.592,244.269,39,7,"Mobile",0,1
43,130720.555,271.288,30,2,"Desktop",0,1
64,94267.376,126.441,16,0,"Desktop",0,1
60,95279.607,310.24,18,26,"Tablet",0,1
41,144969.007,140.324,5,5,"Mobile",1,1
30,85413.309,455.596,27,0,"Mobile",0,1
27,134891.63,14.041,44,25,"Mobile",0,1
21,145345.94,70.893,39,17,"Tablet",0,1
64,110900.46,421.706,33,19,"Tablet",1,1
22,83962.729,177.087,17,1,"Desktop",0,1
18,22636.541,319.745,44,14,"Mobile",0,1
55,149374.706,397.891,24,14,"Mobile",0,1
58,136011.372,136.132,38,19,"Desktop",1,1
55,122338.015,424.557,36,30,"Desktop",0,1
32,22438.481,475.774,47,15,"Desktop",0,1
19,132240.163,413.88,37,25,"Mobile",1,1
62,45648.204,88.672,15,27,"Mobile",1,1
48,138324.312,331.492,5,22,"Mobile",1,1
47,138838.798,75.401,43,28,"Mobile",0,1
60,41210.2,397.044,23,17,"Mobile",1,1
59,34870.811,287.745,32,0,"Desktop",0,1
67,44681.326,154.537,44,8,"Desktop",0,1
22,82110.34,226.473,21,2,"Desktop",1,1
34,53197.386,286.544,4,13,"Mobile",0,1
22,124196.319,192.399,30,15,"Desktop",0,1
36,86805.389,460.564,31,22,"Desktop",0,1
35,89239.88,426.214,38,30,"Mobile",0,1
70,47143.256,15.456,9,20,"Mobile",1,1
62,47934.086,444.469,21,8,"Mobile",0,1
32,149776.748,153.699,31,11,"Mobile",1,1
28,82014.299,141.674,45,27,"Desktop",1,1
37,123419.458,163.521,21,18,"Desktop",0,0
41,48210.829,148.353,16,29,"Tablet",0,1
48,52171.416,495.174,6,20,"Mobile",0,1
58,93488.036,69.662,41,9,"Mobile",0,1
50,60731.557,382.868,40,30,"Tablet",0,1
40,129007.565,329.67,28,6,"Desktop",0,1
61,122259.681,60.104,25,17,"Mobile",0,1
22,45669.686,376.921,41,2,"Mobile",1,1
22,52669.06,222.567,36,6,"Mobile",0,1
66,22859.482,481.299,39,23,"Desktop",0,1
44,27330.349,490.04,14,28,"Mobile",0,1
55,133817.669,24.601,22,5,"Desktop",0,1
30,57968.946,472.915,41,27,"Mobile",0,1
47,100181.758,423.099,22,16,"Desktop",1,1
26,109219.422,264.127,28,6,"Desktop",1,1
70,92523.545,473.955,38,27,"Mobile",0,1
54,116251.092,281.784,27,8,"Desktop",0,1
59,149979.898,291.693,34,1,"Mobile",0,1
38,140640.199,46.56,30,5,"Mobile",1,1
62,51407.398,497.356,35,6,"Mobile",0,1
32,147917.972,270.585,11,1,"Desktop",1,1
58,86467.517,472.752,24,13,"Desktop",0,1
45,139175.808,99.407,4,25,"Mobile",0,1
51,120032.637,255.349,15,3,"Desktop",0,0
40,131692.53,176.521,8,23,"Desktop",0,1
28,33238.81,316.166,18,5,"Mobile",0,1
29,54289.052,221.081,28,26,"Desktop",0,1
51,70661.61,159.226,34,13,"Desktop",0,1
23,43040.704,14.422,16,22,"Desktop",0,1
63,96026.656,110.218,11,1,"Desktop",0,0
33,32659.151,457.819,17,3,"Mobile",0,1
65,54535.699,139.096,37,4,"Desktop",0,1
20,139433.999,267.512,7,28,"Mobile",0,1
57,37029.645,403.761,34,18,"Mobile",0,1
53,117493.609,486.862,43,9,"Mobile",0,1
33,51922.128,204.507,7,11,"Mobile",0,1
52,108925.558,162.4,32,0,"Mobile",0,1
68,53416.91,375.523,32,8,"Desktop",1,1
53,78297.306,309.384,47,19,"Desktop",1,1
45,94856.327,244.764,34,28,"Desktop",0,1
59,78709.653,119.404,14,6,"Mobile",1,1
37,57630.414,165.427,48,17,"Desktop",0,1
61,39265.299,310.716,44,23,"Desktop",0,1
70,75414.169,165.177,31,25,"Mobile",0,1
31,90037.073,105.993,47,9,"Mobile",1,1
23,78608.902,221.945,18,30,"Mobile",0,1
40,102365.889,289.427,6,12,"Mobile",1,1
30,52253.075,211.845,33,30,"Mobile",0,1
36,63893.474,268.711,10,8,"Desktop",1,1
61,90365.516,85.477,15,24,"Tablet",1,1
21,126398.558,318.375,7,20,"Tablet",0,1
52,62327.346,464.201,15,27,"Mobile",1,1
44,74883.668,14.789,7,7,"Mobile",0,1
29,147084.583,198.457,48,10,"Desktop",0,1
31,89179.78,285.443,50,1,"Desktop",1,1
38,97129.125,302.654,6,13,"Desktop",0,1
70,125892.99,227.255,14,10,"Desktop",1,1
64,129824.742,252.718,13,22,"Mobile",0,1
60,69573.947,18.278,14,5,"Mobile",0,1
43,39026.325,221.171,15,28,"Tablet",0,1
32,39241.63,340.893,28,4,"Mobile",0,1
67,135644.994,474.983,8,7,"Desktop",0,1
64,115918.201,171.364,46,11,"Mobile",0,1
43,43896.841,141.34,10,13,"Mobile",0,1
33,93806.112,61.393,30,6,"Desktop",1,1
62,43972.693,50.115,18,15,"Mobile",0,1
62,113621.484,432.568,33,20,"Desktop",0,1
44,44046.697,220.259,3,21,"Tablet",0,1
61,89401.911,119.871,45,20,"Mobile",0,1
59,91954.793,399.207,29,27,"Mobile",0,1
26,118123.445,22.114,47,28,"Mobile",0,1
19,122632.562,285.619,8,9,"Mobile",0,1
58,38071.279,233.943,46,9,"Desktop",0,1
55,45603.323,330.065,15,1,"Mobile",0,0
57,73526.479,118.868,48,21,"Desktop",0,1
44,69237.49,403.059,35,28,"Desktop",0,1
26,47452.954,430.814,26,23,"Mobile",0,0
33,114782.731,157.967,42,14,"Desktop",0,1
39,67226.382,233.988,6,19,"Tablet",1,1
56,123111.799,275.124,44,21,"Mobile",0,1
24,54068.889,207.47,50,26,"Mobile",0,1
36,37676.276,483.932,31,7,"Mobile",0,1
19,103752.646,177.315,9,1,"Mobile",0,1
42,24865.635,76.983,19,15,"Mobile",0,1
44,27427.468,177.49,18,13,"Desktop",0,1
26,23383.978,114.097,10,0,"Desktop",0,1
53,126833.179,223.271,14,4,"Mobile",0,1
54,149688.756,307.866,12,6,"Desktop",1,1
59,69132.149,89.916,40,26,"Mobile",0,1
35,26836.249,402.003,31,21,"Desktop",0,1
58,70082.756,76.972,29,11,"Desktop",1,1
28,79867.423,16.959,50,18,"Desktop",0,1
62,26370.956,309.283,47,4,"Desktop",1,1
43,65800.686,74.537,7,19,"Desktop",0,1
64,139527.097,238.757,49,4,"Mobile",0,1
41,130571.707,436.361,8,23,"Tablet",0,1
30,102137.926,332.573,41,19,"Tablet",0,1
60,56368.486,343.58,34,17,"Mobile",0,1
24,137588.364,268.146,50,5,"Mobile",1,1
40,101977.198,426.923,28,3,"Mobile",0,1
51,21224.441,391.19,15,1,"Mobile",0,1
44,20919.058,247.127,27,9,"Desktop",0,1
33,124359.449,403.442,37,25,"Mobile",1,1
65,85179.812,271.116,4,7,"Mobile",1,1
52,105085.55,75.416,50,15,"Desktop",0,1
61,72574.278,326.439,44,20,"Tablet",0,1
62,60695.748,407.356,43,12,"Desktop",0,1
44,64672.077,193.774,47,26,"Desktop",1,1
35,57176.029,136.414,17,27,"Tablet",0,1
61,47093.658,353.699,27,14,"Desktop",0,1
65,142461.167,327.169,10,10,"Mobile",1,1
66,76739.864,63.545,20,30,"Desktop",0,1
38,129381.403,445.577,39,15,"Mobile",0,1
64,110497.324,275.327,11,2,"Desktop",0,1
55,140298.741,297.902,15,8,"Mobile",1,1
43,109467.237,131.259,25,25,"Desktop",1,1
19,120068.249,338.829,22,4,"Mobile",0,1
34,96053.37,342.849,48,21,"Desktop",0,1
61,73463.775,28.288,31,10,"Desktop",0,1
30,58365.902,284.995,38,27,"Desktop",0,1
49,85006.37,455.735,24,14,"Desktop",1,1
65,132222.857,383.391,26,10,"Desktop",0,1
49,132405.289,99.439,8,14,"Mobile",1,1
62,37530.42,478.984,23,20,"Mobile",0,1
63,88495.747,37.333,8,17,"Tablet",1,1
36,26533.579,73.789,38,4,"Desktop",0,0
58,80141.217,223.404,15,24,"Desktop",0,1
37,28166.74,472.619,16,15,"Desktop",0,1
26,24580.686,330.969,10,6,"Desktop",1,0
18,134176.538,152.798,31,12,"Mobile",1,1
41,97123.768,192.415,34,30,"Desktop",0,1
20,72214.831,297.738,49,27,"Mobile",0,1
23,120778.024,82.908,30,28,"Mobile",0,1
33,110501.575,253.756,48,17,"Mobile",0,1
30,132575.233,413.392,30,7,"Mobile",0,1
32,124033.154,58.709,46,12,"Desktop",1,1
